strain,sex,id,age,pct_fat,hTG,BW,BWC,LW,LW_BW,GLU,GTT0,GTT30,GTT60,GTT120,Insulin,AUC_GTT2,AUC_GTT1,pct_ITT0,pct_ITT30,pct_ITT60,pct_ITT120,AUC_ITT2,AUC_ITT1,TG,TC,FC,CE,PL,BHB,FFA
129X1/SvJ,f,21,12,14.3,136,23.4,113,0.970,4.15,150,166,192,183,145,0.168,2088,1035,100,41.5,21.5,18.5,-10440,-3960,136,88.8,10.0,132,150,0.889,0.900
129X1/SvJ,f,22,12,17.4,139,22.4,92.1,0.930,4.13,162,172,199,198,149,0.113,1290,1200,100,44.7,42.1,38.2,-9300,-3840,105,116,14.4,170,193,1.27,0.820
129X1/SvJ,f,23,12,13.8,152,21.5,86.8,0.810,3.78,150,135,191,170,146,0.0670,3585,2205,100,40.9,23.8,18.9,-12525,-4785,103,103,11.2,154,176,1.30,0.910
129X1/SvJ,f,24,12,12.9,64.8,20.4,92.1,0.780,3.83,150,164,213,183,149,0.0600,1875,1755,100,48.9,29.6,32.6,-9075,-3495,97.6,91.2,10.4,135,160,0.583,0.680
129X1/SvJ,f,25,12,12.5,94.6,22.6,116,0.880,3.91,154,169,220,206,155,0.189,2775,2085,100,39.6,25.9,14.4,-10725,-4065,86.8,87.6,11.6,127,145,0.639,0.820
129X1/SvJ,f,26,9,14.2,113,18.8,37.5,0.670,3.54,130,,,,,,,,,,,,,,124,93.6,12.0,136,191,0.631,
129X1/SvJ,f,27,9,14.5,58.3,19.3,6.30,0.700,3.62,126,,,,,,,,,,,,,,233,101,13.6,146,214,0.472,
129X1/SvJ,f,28,9,17.5,77.2,18.8,31.3,0.610,3.24,126,,,,,,,,,,,,,,246,113,16.2,162,228,0.770,
129X1/SvJ,f,29,9,13.6,41.4,17.6,87.5,0.530,3.03,142,,,,,,,,,,,,,,186,96.4,14.0,138,195,1.08,
129X1/SvJ,f,30,9,14.3,112,18.6,25.0,0.610,3.26,136,,,,,,,,,,,,,,205,100,16.8,140,208,1.00,
129X1/SvJ,m,16,11,13.8,56.8,26.5,132,1.08,4.06,169,180,206,186,148,0.0800,2702,855,100,38.6,15.8,16.5,-12855,-4905,147,116,10.8,176,212,1.05,0.830
129X1/SvJ,m,17,11,13.4,61.1,24.3,74.2,0.960,3.94,128,136,166,168,132,0.0200,2258,1402,100,31.4,23.1,19.8,-9585,-3885,178,92.0,8.40,140,175,1.23,0.700
129X1/SvJ,m,18,11,14.6,50.4,27.2,83.9,1.09,4.02,176,164,216,202,153,0.0670,2940,2130,100,36.7,17.6,29.8,-14505,-5895,152,116,10.8,175,204,0.909,0.670
129X1/SvJ,m,19,11,14.2,93.8,23.5,77.4,0.840,3.58,132,144,210,208,173,0.0470,5730,2940,100,47.5,35.8,53.3,-7035,-3045,160,108,13.2,158,202,1.39,0.760
129X1/SvJ,m,20,11,12.6,87.6,23.3,136,0.930,3.97,165,159,221,178,153,0.0800,2535,2145,100,45.0,36.3,29.2,-11355,-4455,134,110,12.8,162,200,0.587,0.680
AKR/J,f,127,9,20.2,61.8,26.6,53.3,1.40,5.27,145,141,217,263,163,0.644,8430,4110,100,68.5,61.1,81.9,-4830,-2280,192,69.2,8.00,102,141,0.722,
AKR/J,f,128,9,24.3,96.0,29.6,267,1.49,5.03,151,160,203,233,191,0.729,5505,2385,100,61.3,53.5,81.0,-5430,-2640,203,69.2,8.00,102,148,0.611,
AKR/J,f,129,9,17.5,63.2,25.3,173,1.15,4.53,152,160,206,251,148,0.375,5115,2745,100,64.9,56.5,76.0,-4356,-2599,162,69.2,10.0,98.9,146,0.782,
AKR/J,f,130,9,17.5,98.9,27.0,200,1.32,4.88,160,159,194,227,155,0.747,3990,2070,100,63.0,59.3,65.4,-6450,-2790,176,69.2,8.80,101,139,0.857,
AKR/J,f,131,9,18.1,67.9,25.5,120,1.26,4.92,150,139,197,231,175,0.866,6960,3120,100,67.7,53.4,77.6,-6015,-2685,159,70.8,16.8,90.2,162,0.571,
BALB/cByJ,f,44,11,12.9,182,21.4,117,1.14,5.32,122,132,213,222,154,0.289,7140,3780,100,50.9,32.1,69.6,-6090,-2790,148,68.8,6.40,104,126,0.738,1.23
BALB/cByJ,f,45,11,12.6,273,20.2,90.0,1.06,5.23,130,141,247,228,161,0.340,7695,4485,100,29.4,34.5,70.6,-7080,-3690,172,79.2,7.60,120,148,0.595,1.30
BALB/cByJ,f,46,11,17.3,245,23.0,86.7,1.15,5.00,132,139,242,206,163,0.267,6825,4095,100,65.6,58.4,65.6,-4920,-2070,229,72.4,7.60,108,144,0.671,0.750
BALB/cByJ,f,47,11,15.7,289,22.1,130,1.11,5.00,111,105,249,161,126,0.267,7470,5160,100,37.6,51.3,66.7,-5925,-3045,170,68.8,3.60,109,136,0.702,0.520
BALB/cByJ,f,48,11,14.3,248,23.4,107,1.15,4.93,123,137,224,201,137,0.196,5490,3570,100,49.5,56.9,74.3,-4605,-2355,192,71.2,8.80,104,139,0.782,0.600
BALB/cByJ,f,49,9,20.8,285,18.1,0.0,0.940,5.18,136,,,,,,,,,,,,,,146,82.2,8.90,122,145,1.24,
BALB/cByJ,f,50,9,13.7,289,19.0,-12.5,1.01,5.32,129,,,,,,,,,,,,,,116,103,11.9,152,173,0.825,
BALB/cByJ,f,51,9,16.4,504,19.2,50.0,1.02,5.30,140,,,,,,,,,,,,,,145,100,10.9,149,179,0.952,
BALB/cByJ,f,52,9,25.0,194,21.1,-12.5,1.09,5.18,136,,,,,,,,,,,,,,211,106,13.9,155,191,1.08,
BALB/cByJ,f,53,9,15.5,319,21.0,-12.5,1.17,5.59,136,,,,,,,,,,,,,,182,113,13.4,167,196,1.04,
BALB/cByJ,m,31,12,12.8,301,28.2,178,1.49,5.23,130,158,312,207,142,1.32,6345,5355,100,68.4,68.0,70.9,-3360,-1470,154,91.2,4.40,145,174,0.805,0.610
BALB/cByJ,m,32,12,14.1,473,28.8,153,1.56,5.41,138,134,244,195,125,0.415,5775,4215,100,60.6,56.7,63.1,-5970,-2580,184,81.2,8.40,122,156,0.996,1.07
BALB/cByJ,m,33,12,11.3,466,27.3,136,1.42,5.20,99.8,108,189,154,119,0.590,4830,3120,100,56.8,72.7,91.3,-2550,-1560,182,83.6,3.20,134,163,1.02,1.29
BALB/cByJ,m,34,12,12.3,270,29.7,169,1.47,4.96,129,132,245,154,136,0.914,4500,3720,100,66.5,66.9,70.1,-4253,-1883,170,105,6.80,164,196,0.813,1.23
BALB/cByJ,m,35,12,10.4,408,27.3,125,1.51,5.54,112,142,217,188,143,0.490,4350,2940,100,72.3,95.2,96.4,-3418,-750,179,81.2,7.60,123,163,0.710,0.940
BALB/cJ,m,54,9,,58.0,23.7,,1.06,4.47,134,,,,,,,,,,,,,,58.1,63.9,,,,,0.570
