Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"INS","Insulin","Protein Coding","46","GC11M002159","160.0537109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"INSR","Insulin Receptor","Protein Coding","52","GC19M007112","157.793395996094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","48","GC12M102395","123.53157043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","53","GC15P098648","116.776039123535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","46","GC02M226731","89.6680068969727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","47","GC11M002520","66.602897644043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"IGFBP3","Insulin Like Growth Factor Binding Protein 3","Protein Coding","45","GC07M045912","65.3620910644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3"
"IRS2","Insulin Receptor Substrate 2","Protein Coding","44","GC13M109752","64.9839630126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS2"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","47","GC11M017455","63.2519683837891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"HNF1A","HNF1 Homeobox A","Protein Coding","44","GC12P125100","62.8301124572754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"GCK","Glucokinase","Protein Coding","49","GC07M044331","62.3415451049805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","42","GC07P047389","60.1137161254883","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
"PDX1","Pancreatic And Duodenal Homeobox 1","Protein Coding","46","GC13P027921","58.2082633972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDX1"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","46","GC11M017392","58.1924896240234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","51","GC03P012287","55.6874771118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","45","GC17P010317","55.3323822021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"IL6","Interleukin 6","Protein Coding","48","GC07P022725","51.6325035095215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","49","GC20P044355","48.8217926025391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"IGFBP2","Insulin Like Growth Factor Binding Protein 2","Protein Coding","42","GC02P216632","48.1116905212402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2"
"GH1","Growth Hormone 1","Protein Coding","43","GC17M063917","46.0830154418945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"IGF2BP2","Insulin Like Growth Factor 2 MRNA Binding Protein 2","Protein Coding","43","GC03M185643","45.7852897644043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP2"
"PAX4","Paired Box 4","Protein Coding","44","GC07M127610","45.555248260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX4"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","52","GC19M040230","45.1967391967773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"LEP","Leptin","Protein Coding","46","GC07P128241","45.0481033325195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"RETN","Resistin","Protein Coding","42","GC19P007669","44.1597747802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
